,SYMBOL,Gene,ENTREZID,iNKT_VD1,iNKT_VD2,DysiNKTD1,DysiNKTD2
1,ABCA2,ENSG00000107331,20,180.722834,238.438955,652.590048,394.479968
2,ABLIM1,ENSG00000099204,3983,60.762895,50.418531,129.599418,73.807816
3,ACOT7,ENSG00000097021,11332,12.957055,20.066134,6.301236,8.018356
4,AK1,ENSG00000106992,203,48.561153,49.44675,179.579732,146.378655
5,AMY2B,ENSG00000240038,280,15.088753,11.453163,23.520735,11.479907
6,ASF1B,ENSG00000105011,55723,13.626405,15.219126,12.484674,12.765079
7,ATG2A,ENSG00000110046,23130,78.003895,80.516084,100.377658,70.841258
8,ATP8A1,ENSG00000124406,10396,151.801285,81.91401,252.171821,89.879911
9,AUTS2,ENSG00000158321,26053,51.454442,41.760453,188.60297,149.289582
10,BAIAP3,ENSG00000007516,8938,29.524659,52.850648,11.317486,14.998341
11,BCL9,ENSG00000116128,607,18.48287,18.178147,4.299418,2.683941
12,BICDL1,ENSG00000135127,92558,80.491412,70.697211,121.713156,101.287026
13,C1QTNF6,ENSG00000133466,114904,23.91918,19.942247,50.01842,28.091487
14,CCR1,ENSG00000163823,1230,17.141113,26.990645,14.754927,12.828532
15,CD40LG,ENSG00000102245,959,42.786834,61.924561,66.112694,96.923957
16,CDC45,ENSG00000093009,8318,2.978664,7.267897,5.928382,3.834085
17,CDC6,ENSG00000094804,990,5.329049,6.996012,3.393275,3.84547
18,CDCA5,ENSG00000146670,113130,7.521627,15.839254,13.016994,13.298298
19,CDT1,ENSG00000167513,81620,7.078521,13.833071,6.654839,7.73611
20,CENPN,ENSG00000166451,55839,5.52467,9.782589,10.961964,11.694499
21,CENPW,ENSG00000203760,387103,6.88713,8.023436,3.487372,8.023092
22,CHAC2,ENSG00000143942,494143,1.93348,3.033167,0.486059,2.287552
23,CISH,ENSG00000114737,1154,38.61409,45.839063,38.692198,53.423207
24,CLIC3,ENSG00000169583,9022,18.730359,39.166753,290.385126,217.636251
25,CLN6,ENSG00000128973,54982,6.217597,11.58142,7.486528,8.524646
