"","Gene","SYMBOL","ENTREZID","iNKTD2_D131","iNKTD1","iNKTD2"
"3","ENSG00000000419","DPM1","8813",51.652027,74.725928,63.124353
"4","ENSG00000000457","SCYL3","57147",17.745094,13.058382,14.021896
"5","ENSG00000000460","FIRRM","55732",12.224689,28.381609,12.68243
"6","ENSG00000000938","FGR","2268",0.834577,1.197373,1.959497
"7","ENSG00000000971","CFH","3075",29.619862,9.814845,32.691613
"8","ENSG00000001036","FUCA2","2519",10.845251,20.2556,17.064856
"9","ENSG00000001084","GCLC","2729",62.010408,36.508321,54.621665
"10","ENSG00000001167","NFYA","4800",31.556381,25.979556,30.654823
"11","ENSG00000001460","STPG1","90529",4.971436,3.599155,3.612322
"12","ENSG00000001461","NIPAL3","57185",38.571633,25.619429,32.88448
"13","ENSG00000001497","LAS1L","81887",20.222222,28.504709,26.735878
"14","ENSG00000001561","ENPP4","22875",7.156246,11.168704,10.47292
"17","ENSG00000001629","ANKIB1","54467",44.72257,23.419004,30.03197
"18","ENSG00000001630","CYP51A1","1595",14.055551,60.603836,32.720787
"19","ENSG00000001631","KRIT1","889",45.458475,34.777172,42.755349
"20","ENSG00000002016","RAD52","5893",23.883538,7.192204,7.276032
"22","ENSG00000002330","BAD","572",46.872294,71.562068,71.1777
"23","ENSG00000002549","LAP3","51056",28.259405,109.20018,60.112987
"24","ENSG00000002586","CD99","4267",451.032155,518.771307,572.384114
"25","ENSG00000002587","HS3ST1","9957",0.522434,0.006521,0.13094
"27","ENSG00000002745","WNT16","51384",0.193137,0,0.02349
"28","ENSG00000002746","HECW1","23072",0.264511,0,0.058005
"29","ENSG00000002822","MAD1L1","8379",82.884578,93.805216,167.707219
"30","ENSG00000002834","LASP1","3927",166.287037,212.496805,233.252523
"31","ENSG00000002919","SNX11","29916",10.906981,19.837203,15.496487
"33","ENSG00000003056","M6PR","4074",154.483025,194.836528,164.572625
"34","ENSG00000003096","KLHL13","90293",0.184132,0.035643,0.032396
"36","ENSG00000003147","ICA1","3382",5.627215,0.447812,0.411657
"37","ENSG00000003249","DBNDD1","79007",1.181556,0.083495,0
"38","ENSG00000003393","ALS2","57679",6.672555,5.432303,8.163493
"39","ENSG00000003400","CASP10","843",19.442504,23.2098,30.279727
"40","ENSG00000003402","CFLAR","8837",190.40097,120.194438,150.910364
"41","ENSG00000003436","TFPI","7035",9.88924,2.352958,4.628572
"42","ENSG00000003509","NDUFAF7","55471",21.345132,13.626215,17.778733
"43","ENSG00000003756","RBM5","10181",224.790035,72.987065,171.239614
"45","ENSG00000003989","SLC7A2","6542",1.353738,0.013889,0
"46","ENSG00000004059","ARF5","381",168.336336,176.346747,187.344701
"47","ENSG00000004139","SARM1","23098",19.084507,9.704568,14.437298
"48","ENSG00000004142","POLDIP2","26073",29.551928,56.285423,42.523145
"49","ENSG00000004399","PLXND1","23129",200.771241,18.510801,51.021971
"50","ENSG00000004455","AK2","204",84.892238,124.749097,93.07802
"51","ENSG00000004468","CD38","952",10.197861,51.355817,2.975607
"52","ENSG00000004478","FKBP4","2288",34.802433,25.821503,24.2725
"53","ENSG00000004487","KDM1A","23028",43.510089,30.183194,29.102761
"54","ENSG00000004534","RBM6","10180",193.471091,58.241558,105.567311
"55","ENSG00000004660","CAMKK1","84254",6.216471,0.843946,1.916997
"56","ENSG00000004700","RECQL","5965",64.823706,125.890094,103.253915
"57","ENSG00000004766","VPS50","55610",16.594938,13.349315,15.997924
"58","ENSG00000004776","HSPB6","126393",0,0.084532,0.056618
"59","ENSG00000004777","ARHGAP33","115703",58.889102,23.080088,49.487388
"60","ENSG00000004779","NDUFAB1","4706",57.649702,147.90195,90.955848
"63","ENSG00000004838","ZMYND10","51364",7.184748,0.794824,2.126193
"64","ENSG00000004846","ABCB5","340273",0.12951,0.076443,0.034123
"66","ENSG00000004864","SLC25A13","10165",6.207118,6.918712,5.982825
"68","ENSG00000004897","CDC27","996",44.750791,75.355779,50.025355
"69","ENSG00000004939","SLC4A1","6521",0.238851,0.086258,0
"71","ENSG00000004961","HCCS","3052",19.89797,29.20123,27.161048
"72","ENSG00000004975","DVL2","1856",38.405068,33.295128,29.716304
"74","ENSG00000005007","UPF1","5976",55.060114,39.685897,52.900438
"75","ENSG00000005020","SKAP2","8935",8.387209,13.159248,10.269647
"76","ENSG00000005022","SLC25A5","292",137.746744,447.753808,221.926893
"77","ENSG00000005059","MCUB","55013",127.356487,62.879886,73.610478
"79","ENSG00000005075","POLR2J","5439",53.380093,101.748527,80.146711
"80","ENSG00000005100","DHX33","56919",12.157578,12.655852,10.306238
"81","ENSG00000005102","MEOX1","4222",1.540799,0.267265,0.249405
"83","ENSG00000005156","LIG3","3980",16.374539,16.424417,11.98741
"84","ENSG00000005175","RPAP3","79657",25.667105,32.782437,39.69163
"85","ENSG00000005187","ACSM3","6296",0.890734,0.839067,0.766718
"86","ENSG00000005189","REXO5","81691",6.348317,5.67243,2.682651
"87","ENSG00000005194","CIAPIN1","57019",26.839125,39.33637,33.248189
"88","ENSG00000005206","SPPL2B","56928",112.660589,24.205026,55.132194
"89","ENSG00000005238","ATOSB","80256",18.168646,17.164922,22.95675
"90","ENSG00000005243","COPZ2","51226",5.996229,9.478678,8.932745
"91","ENSG00000005249","PRKAR2B","5577",0.743626,0.654096,0.350297
"92","ENSG00000005302","MSL3","10943",80.98351,40.710467,56.635843
"93","ENSG00000005339","CREBBP","1387",44.642805,31.155716,53.251313
"94","ENSG00000005379","TSPOAP1","9256",110.357678,19.783341,56.518749
"97","ENSG00000005436","GCFC2","6936",17.487457,12.2812,16.266767
"98","ENSG00000005448","WDR54","84058",90.87708,54.624628,47.084326
"99","ENSG00000005469","CROT","54677",8.595538,5.603336,11.042087
"100","ENSG00000005471","ABCB4","5244",0,0.088379,0.066999
"101","ENSG00000005483","KMT2E","55904",102.987905,55.82656,84.705262
"102","ENSG00000005486","RHBDD2","57414",65.648854,34.919137,55.673925
"103","ENSG00000005513","SOX8","30812",1.527908,0.03632,0.072945
"104","ENSG00000005700","IBTK","25998",21.980805,25.997045,27.404277
"105","ENSG00000005801","ZNF195","7748",17.646988,15.04762,19.343723
"106","ENSG00000005810","MYCBP2","23077",94.087642,40.428668,83.820036
"107","ENSG00000005812","FBXL3","26224",32.666665,26.820355,36.896151
"108","ENSG00000005844","ITGAL","3683",643.35458,538.89243,781.475876
"109","ENSG00000005882","PDK2","5164",18.871197,21.01129,38.836313
"110","ENSG00000005884","ITGA3","3675",37.313167,4.836572,10.861738
"111","ENSG00000005889","ZFX","7543",29.286463,16.662131,29.099733
"112","ENSG00000005893","LAMP2","3920",66.073486,75.128219,77.502875
"113","ENSG00000005961","ITGA2B","3674",3.829678,0.248743,0.028757
"115","ENSG00000006007","GDE1","51573",59.289513,51.791994,57.931485
"116","ENSG00000006015","REX1BD","55049",118.116472,93.483309,95.727245
"118","ENSG00000006025","OSBPL7","114881",88.798536,17.303208,27.465528
"119","ENSG00000006042","TMEM98","26022",17.694857,15.030304,16.254722
"120","ENSG00000006047","YBX2","51087",0.69439,0.29097,0.031599
"122","ENSG00000006062","MAP3K14","9020",24.047846,12.383516,20.60888
"125","ENSG00000006118","TMEM132A","54972",47.638991,0.028878,0
"126","ENSG00000006125","AP2B1","163",105.902217,145.103001,130.82082
"128","ENSG00000006194","ZNF263","10127",26.614491,20.875673,30.68833
"129","ENSG00000006210","CX3CL1","6376",0.083582,0.009153,0
"130","ENSG00000006282","SPATA20","64847",44.693852,11.316369,21.632144
"131","ENSG00000006283","CACNA1G","8913",0.909636,0,0.068097
"132","ENSG00000006327","TNFRSF12A","51330",36.115223,4.48277,9.853822
"134","ENSG00000006432","MAP3K9","4293",5.89182,3.209142,3.087585
"135","ENSG00000006451","RALA","5898",51.068329,26.942624,28.555445
"136","ENSG00000006453","BAIAP2L1","55971",0.908217,0.075334,0.040345
"137","ENSG00000006459","KDM7A","80853",31.048711,13.16185,14.836581
"138","ENSG00000006468","ETV1","2115",2.637348,1.884206,3.08167
"140","ENSG00000006534","ALDH3B1","221",0.297581,0.054152,0.130308
"141","ENSG00000006555","TTC22","55001",8.034346,5.513809,8.502789
"142","ENSG00000006576","PHTF2","57157",46.442594,65.524002,95.466136
"144","ENSG00000006607","FARP2","9855",6.841479,8.191161,9.104521
"146","ENSG00000006625","GGCT","79017",20.125779,67.075427,34.963161
"147","ENSG00000006634","DBF4","10926",16.921878,73.307412,33.925399
"148","ENSG00000006638","TBXA2R","6915",3.421783,1.085889,1.865397
"149","ENSG00000006652","IFRD1","3475",46.968987,16.459646,25.694486
"151","ENSG00000006695","COX10","1352",6.713912,16.864117,15.791361
"152","ENSG00000006704","GTF2IRD1","9569",1.829378,0.090351,0.569835
"153","ENSG00000006712","PAF1","54623",55.373761,53.800029,53.370192
"154","ENSG00000006715","VPS41","27072",39.321879,35.003285,47.31652
"155","ENSG00000006740","ARHGAP44","9912",1.790007,0,0.016273
"156","ENSG00000006744","ELAC2","60528",42.393622,44.078371,40.133962
"157","ENSG00000006747","SCIN","85477",0.111627,0.016083,0.230179
"158","ENSG00000006756","ARSD","414",17.248542,5.046728,11.580868
"159","ENSG00000006757","PNPLA4","8228",1.730611,2.822386,2.929667
"161","ENSG00000006831","ADIPOR2","79602",42.008257,62.595817,47.862822
"162","ENSG00000006837","CDKL3","51265",4.916745,0.70609,1.227453
"164","ENSG00000007038","PRSS21","10942",11.836808,4.185091,5.30087
"165","ENSG00000007047","MARK4","57787",33.421946,12.623377,21.898466
"167","ENSG00000007080","CCDC124","115098",80.611445,100.914454,90.550762
"168","ENSG00000007129","CEACAM21","90273",101.120198,37.704686,64.433936
"169","ENSG00000007168","PAFAH1B1","5048",100.158049,117.113389,111.685063
"172","ENSG00000007202","BLTP2","9703",73.00053,60.266693,61.731017
"174","ENSG00000007237","GAS7","8522",4.879305,0.742743,1.652152
