"","Gene","SYMBOL","ENTREZID","DysiNKTD1_KKU213C","DysiNKTD2_KKU213C","DysiNKTD2_SSP25","iNKTD2_D131"
"1","ENSG00000000003","TSPAN6","7105",0.126869,0.155885,1.499036,1.43159
"3","ENSG00000000419","DPM1","8813",40.604845,45.007072,42.219143,51.652027
"4","ENSG00000000457","SCYL3","57147",17.268882,17.015758,14.04661,17.745094
"5","ENSG00000000460","FIRRM","55732",12.767662,12.635568,7.872787,12.224689
"6","ENSG00000000938","FGR","2268",3.292277,0.471714,0.919086,0.834577
"7","ENSG00000000971","CFH","3075",7.20142,24.051371,26.033612,29.619862
"8","ENSG00000001036","FUCA2","2519",12.016509,13.40732,6.807814,10.845251
"9","ENSG00000001084","GCLC","2729",39.379712,56.261087,51.513408,62.010408
"10","ENSG00000001167","NFYA","4800",32.623693,30.0885,31.353426,31.556381
"11","ENSG00000001460","STPG1","90529",4.246236,3.463984,3.821758,4.971436
"12","ENSG00000001461","NIPAL3","57185",49.391542,44.190589,46.027322,38.571633
"13","ENSG00000001497","LAS1L","81887",20.112408,26.932707,17.973342,20.222222
"14","ENSG00000001561","ENPP4","22875",9.646914,6.493474,7.296809,7.156246
"15","ENSG00000001617","SEMA3F","6405",0.058416,0.154135,0.305962,0.235049
"17","ENSG00000001629","ANKIB1","54467",45.749138,37.556093,51.147876,44.72257
"18","ENSG00000001630","CYP51A1","1595",14.345191,13.902504,11.295647,14.055551
"19","ENSG00000001631","KRIT1","889",50.979907,47.146414,58.261196,45.458475
"20","ENSG00000002016","RAD52","5893",25.527826,12.898514,18.438997,23.883538
"22","ENSG00000002330","BAD","572",54.498169,51.618177,56.587735,46.872294
"23","ENSG00000002549","LAP3","51056",40.267516,44.119127,65.275264,28.259405
"24","ENSG00000002586","CD99","4267",528.779927,497.987104,487.694701,451.032155
"25","ENSG00000002587","HS3ST1","9957",0.499839,0.896097,5.741977,0.522434
"28","ENSG00000002746","HECW1","23072",0.121444,0.172272,0.19105,0.264511
"29","ENSG00000002822","MAD1L1","8379",88.624262,114.656221,77.616661,82.884578
"30","ENSG00000002834","LASP1","3927",208.094434,196.171819,198.878062,166.287037
