"","Gene","SYMBOL","ENTREZID","DysiNKTD1_KKU213C","DysiNKTD2_KKU213C","DysiNKTD2_SSP25","iNKTD1","iNKTD2"
"1","ENSG00000000003","TSPAN6","7105",0.126869,0.155885,1.499036,0,0
"3","ENSG00000000419","DPM1","8813",40.604845,45.007072,42.219143,74.725928,63.124353
"4","ENSG00000000457","SCYL3","57147",17.268882,17.015758,14.04661,13.058382,14.021896
"5","ENSG00000000460","FIRRM","55732",12.767662,12.635568,7.872787,28.381609,12.68243
"6","ENSG00000000938","FGR","2268",3.292277,0.471714,0.919086,1.197373,1.959497
"7","ENSG00000000971","CFH","3075",7.20142,24.051371,26.033612,9.814845,32.691613
"8","ENSG00000001036","FUCA2","2519",12.016509,13.40732,6.807814,20.2556,17.064856
"9","ENSG00000001084","GCLC","2729",39.379712,56.261087,51.513408,36.508321,54.621665
"10","ENSG00000001167","NFYA","4800",32.623693,30.0885,31.353426,25.979556,30.654823
"11","ENSG00000001460","STPG1","90529",4.246236,3.463984,3.821758,3.599155,3.612322
"12","ENSG00000001461","NIPAL3","57185",49.391542,44.190589,46.027322,25.619429,32.88448
"13","ENSG00000001497","LAS1L","81887",20.112408,26.932707,17.973342,28.504709,26.735878
"14","ENSG00000001561","ENPP4","22875",9.646914,6.493474,7.296809,11.168704,10.47292
"15","ENSG00000001617","SEMA3F","6405",0.058416,0.154135,0.305962,0,0
"17","ENSG00000001629","ANKIB1","54467",45.749138,37.556093,51.147876,23.419004,30.03197
"18","ENSG00000001630","CYP51A1","1595",14.345191,13.902504,11.295647,60.603836,32.720787
"19","ENSG00000001631","KRIT1","889",50.979907,47.146414,58.261196,34.777172,42.755349
"20","ENSG00000002016","RAD52","5893",25.527826,12.898514,18.438997,7.192204,7.276032
"22","ENSG00000002330","BAD","572",54.498169,51.618177,56.587735,71.562068,71.1777
"23","ENSG00000002549","LAP3","51056",40.267516,44.119127,65.275264,109.20018,60.112987
"24","ENSG00000002586","CD99","4267",528.779927,497.987104,487.694701,518.771307,572.384114
"25","ENSG00000002587","HS3ST1","9957",0.499839,0.896097,5.741977,0.006521,0.13094
"28","ENSG00000002746","HECW1","23072",0.121444,0.172272,0.19105,0,0.058005
"29","ENSG00000002822","MAD1L1","8379",88.624262,114.656221,77.616661,93.805216,167.707219
"30","ENSG00000002834","LASP1","3927",208.094434,196.171819,198.878062,212.496805,233.252523
"31","ENSG00000002919","SNX11","29916",8.068458,13.349801,12.547237,19.837203,15.496487
"33","ENSG00000003056","M6PR","4074",133.133709,151.048636,155.028501,194.836528,164.572625
"34","ENSG00000003096","KLHL13","90293",0.046473,0,0.070976,0.035643,0.032396
"35","ENSG00000003137","CYP26B1","56603",0.045819,0.040283,0.019665,0,0
"36","ENSG00000003147","ICA1","3382",1.21544,3.044955,3.144354,0.447812,0.411657
"37","ENSG00000003249","DBNDD1","79007",0.117003,0.041692,0.940196,0.083495,0
"38","ENSG00000003393","ALS2","57679",6.382645,5.815813,10.629273,5.432303,8.163493
"39","ENSG00000003400","CASP10","843",8.53536,14.194056,25.851933,23.2098,30.279727
"40","ENSG00000003402","CFLAR","8837",291.170202,250.39127,220.351193,120.194438,150.910364
"41","ENSG00000003436","TFPI","7035",6.541149,5.41012,13.431786,2.352958,4.628572
"42","ENSG00000003509","NDUFAF7","55471",28.291526,27.276617,29.76151,13.626215,17.778733
"43","ENSG00000003756","RBM5","10181",221.07667,263.211977,260.390556,72.987065,171.239614
"46","ENSG00000004059","ARF5","381",168.919835,162.594808,183.856564,176.346747,187.344701
"47","ENSG00000004139","SARM1","23098",17.892312,18.756982,12.914712,9.704568,14.437298
"48","ENSG00000004142","POLDIP2","26073",25.918557,34.068171,27.803819,56.285423,42.523145
"49","ENSG00000004399","PLXND1","23129",345.654995,246.971306,142.101265,18.510801,51.021971
"50","ENSG00000004455","AK2","204",65.343726,63.451042,73.133676,124.749097,93.07802
"51","ENSG00000004468","CD38","952",13.178594,23.714882,29.443395,51.355817,2.975607
"52","ENSG00000004478","FKBP4","2288",28.615588,20.557534,50.88562,25.821503,24.2725
"53","ENSG00000004487","KDM1A","23028",37.979169,30.054793,49.783889,30.183194,29.102761
"54","ENSG00000004534","RBM6","10180",165.284917,177.637022,236.330602,58.241558,105.567311
"55","ENSG00000004660","CAMKK1","84254",6.409646,4.131401,9.416675,0.843946,1.916997
"56","ENSG00000004700","RECQL","5965",52.203029,71.412358,67.755593,125.890094,103.253915
